id,input,label,accepted_labels
0,How can I simulate a full outage for the checkout application so dependent services lose access for a while?,application-outages,
1,I want to cut both ingress and egress for one app selected by labels during a resilience drill.,application-outages,
2,What scenario should I use to make an application temporarily unreachable without deleting its pods?,application-outages,
3,How do I create a controlled downtime window for a frontend app so I can watch retries and alerts?,application-outages,
4,I need to isolate an application in one namespace so upstream and downstream traffic both fail for a few minutes.,application-outages,
5,Which chaos test blocks traffic to an app by pod selector so I can study dependency timeouts?,application-outages,
6,I am looking for an application level outage rather than a port specific network filter.,application-outages,
7,How do I deny traffic to the payment service pods long enough to validate health checks?,application-outages,
8,What should I run to make a labeled app unreachable and then let connectivity return after the duration expires?,application-outages,
9,I need an app outage scenario that cuts service traffic for a selected workload without doing a pod delete.,application-outages,
10,How can I stop a pod from reaching its Aurora database without blocking all of its other traffic?,aurora-disruption,pod-network-filter
11,I need a chaos scenario that cuts MySQL and PostgreSQL egress from one workload.,aurora-disruption,pod-network-filter
12,What should I use to simulate an app losing connectivity to AWS Aurora?,aurora-disruption,pod-network-filter
13,How do I block Aurora MySQL and PostgreSQL traffic from a target pod during a resilience test?,aurora-disruption,pod-network-filter
14,I want to reproduce database connection failures to MySQL or Postgres for a single service.,aurora-disruption,pod-network-filter
15,Which scenario makes a pod unable to talk to Aurora while leaving ingress alone?,aurora-disruption,pod-network-filter
16,How can I break relational database access from one microservice without deleting anything?,aurora-disruption,pod-network-filter
17,I need to sever only outgoing SQL traffic from a pod to test retry logic.,aurora-disruption,pod-network-filter
18,What chaos workflow emulates Aurora becoming unreachable to one application pod?,aurora-disruption,pod-network-filter
19,How do I block egress to common MySQL and PostgreSQL ports from a chosen pod?,aurora-disruption,pod-network-filter
20,How can I kill a specific container inside a pod without deleting the whole pod?,container-scenarios,
21,I need to send a kill signal to containers selected by label in one namespace.,container-scenarios,
22,What scenario lets me disrupt a container process rather than the pod object?,container-scenarios,
23,I want to crash the nginx container in a workload and measure how quickly it recovers.,container-scenarios,
24,Which chaos test targets one container in a multi container pod?,container-scenarios,
25,How do I repeatedly kill containers that match a selector so I can watch restart behavior?,container-scenarios,
26,I need a container failure drill that uses oc exec to kill the target process.,container-scenarios,
27,What should I run if I want to test container recovery time after a signal 9?,container-scenarios,
28,How can I simulate a single container dying while the pod itself stays in place?,container-scenarios,
29,I want a scenario that disrupts containers by namespace or labels instead of disrupting nodes.,container-scenarios,
30,How can I stop a pod from resolving hostnames without blocking all of its network access?,dns-outage,pod-network-filter
31,I need a scenario that blocks outbound DNS for one workload.,dns-outage,pod-network-filter
32,What should I run to break service discovery for a target pod?,dns-outage,pod-network-filter
33,How do I cut DNS lookups over TCP and UDP from a target pod?,dns-outage,pod-network-filter
34,I want to simulate an app that still has network connectivity but can no longer do DNS lookups.,dns-outage,pod-network-filter
35,Which chaos test isolates a pod from cluster DNS?,dns-outage,pod-network-filter
36,How can I make one backend fail every hostname resolution request?,dns-outage,pod-network-filter
37,I need to reproduce a name resolution outage from a specific pod only.,dns-outage,pod-network-filter
38,What scenario keeps the pod running but prevents it from talking to DNS servers?,dns-outage,pod-network-filter
39,How do I create a DNS outage for a selected application pod?,dns-outage,pod-network-filter
40,How can I simulate AWS EFS becoming unreachable from selected nodes?,efs-disruption,node-network-filter
41,I need a chaos scenario that blocks node traffic to NFS port 2049.,efs-disruption,node-network-filter
42,What should I use to make EFS backed volumes fail temporarily on one worker?,efs-disruption,node-network-filter
43,How do I cut outgoing EFS connections from a node without touching pod networking?,efs-disruption,node-network-filter
44,I want to reproduce a storage outage caused by nodes losing access to EFS.,efs-disruption,node-network-filter
45,Which scenario adds a firewall rule so selected nodes cannot reach EFS?,efs-disruption,node-network-filter
46,How can I break EFS connectivity on a node to test mounted volume behavior?,efs-disruption,node-network-filter
47,I need to isolate a worker from its EFS storage path for a short drill.,efs-disruption,node-network-filter
48,What is the right chaos test for blocking NFS traffic to AWS EFS from cluster nodes?,efs-disruption,node-network-filter
49,How do I emulate temporary failure of EFS volumes by filtering node egress?,efs-disruption,node-network-filter
50,How can I isolate one etcd member so the cluster has to re elect a leader?,etcd-split-brain,node-network-filter
51,I need a scenario that blocks etcd peer traffic on ports 2379 and 2380.,etcd-split-brain,node-network-filter
52,What should I run to create an etcd network partition on one control plane node?,etcd-split-brain,node-network-filter
53,How do I force an etcd leader change by cutting one member off from its peers?,etcd-split-brain,node-network-filter
54,I want to rehearse an etcd split brain style failure caused by network isolation.,etcd-split-brain,node-network-filter
55,Which chaos test disconnects a single etcd node from the rest of the quorum?,etcd-split-brain,node-network-filter
56,How can I sever client and peer traffic for one etcd node during a resilience exercise?,etcd-split-brain,node-network-filter
57,I need to simulate temporary etcd isolation rather than shutting down the whole node.,etcd-split-brain,node-network-filter
58,What scenario creates a split brain condition by filtering etcd network traffic?,etcd-split-brain,node-network-filter
59,How do I test control plane behavior when one etcd member is partitioned from the others?,etcd-split-brain,node-network-filter
60,How can I generate distributed HTTP load against an API endpoint from the cluster?,http-load,
61,I need a scenario that sends lots of real HTTP requests rather than raw SYN packets.,http-load,
62,What should I use to stress a web service with GET and POST traffic from multiple pods?,http-load,
